popul,TVnews,selfLR,ClinLR,DoleLR,PID,age,educ,income,vote,logpopul
0.0,7.0,7.0,1.0,6.0,6.0,36.0,3.0,1.0,1.0,-2.302585092994045
190.0,1.0,3.0,3.0,5.0,1.0,20.0,4.0,1.0,0.0,5.247550249494384
31.0,7.0,2.0,2.0,6.0,1.0,24.0,6.0,1.0,0.0,3.4372078191851885
83.0,4.0,3.0,4.0,5.0,1.0,28.0,6.0,1.0,0.0,4.420044701861403
640.0,7.0,5.0,6.0,4.0,0.0,68.0,6.0,1.0,0.0,6.461624414147958
110.0,3.0,3.0,4.0,6.0,1.0,21.0,4.0,1.0,0.0,4.701389043728634
100.0,7.0,5.0,6.0,4.0,1.0,77.0,4.0,1.0,0.0,4.606169686321175
31.0,1.0,5.0,4.0,5.0,4.0,21.0,4.0,1.0,0.0,3.4372078191851885
180.0,7.0,4.0,6.0,3.0,3.0,31.0,4.0,1.0,0.0,5.19351225218191
2800.0,0.0,3.0,3.0,7.0,0.0,39.0,3.0,1.0,0.0,7.937410409811269
1600.0,0.0,3.0,2.0,4.0,4.0,26.0,2.0,1.0,0.0,7.377821406274829
330.0,5.0,4.0,3.0,6.0,1.0,31.0,4.0,1.0,0.0,5.799395638859147
190.0,2.0,5.0,4.0,6.0,5.0,22.0,4.0,1.0,1.0,5.247550249494384
100.0,7.0,4.0,4.0,6.0,0.0,42.0,5.0,1.0,0.0,4.606169686321175
1000.0,7.0,5.0,7.0,4.0,0.0,74.0,1.0,1.0,0.0,6.90785527398247
0.0,7.0,6.0,7.0,5.0,0.0,62.0,3.0,1.0,0.0,-2.302585092994045
130.0,7.0,4.0,4.0,5.0,1.0,58.0,3.0,1.0,0.0,4.86830338551846
5.0,5.0,3.0,3.0,6.0,1.0,24.0,6.0,1.0,0.0,1.62924053973028
33.0,7.0,6.0,2.0,6.0,5.0,51.0,4.0,1.0,1.0,3.4995332823830174
19.0,2.0,2.0,1.0,4.0,0.0,36.0,3.0,2.0,0.0,2.9496883350525844
74.0,7.0,4.0,4.0,7.0,2.0,88.0,2.0,2.0,0.0,4.3054155323020415
190.0,0.0,2.0,4.0,6.0,2.0,20.0,4.0,2.0,0.0,5.247550249494384
12.0,3.0,4.0,6.0,3.0,2.0,27.0,3.0,2.0,0.0,2.4932054526026954
0.0,7.0,6.0,1.0,6.0,6.0,44.0,4.0,2.0,1.0,-2.302585092994045
19.0,0.0,4.0,2.0,2.0,1.0,45.0,3.0,2.0,0.0,2.9496883350525844
0.0,2.0,4.0,3.0,6.0,1.0,21.0,4.0,2.0,0.0,-2.302585092994045
390.0,5.0,3.0,4.0,7.0,1.0,40.0,5.0,2.0,0.0,5.966403116512611
40.0,7.0,4.0,3.0,4.0,0.0,40.0,6.0,2.0,0.0,3.691376334312523
3.0,3.0,5.0,5.0,4.0,1.0,48.0,3.0,2.0,0.0,1.1314021114911006
450.0,3.0,4.0,7.0,1.0,0.0,34.0,3.0,2.0,0.0,6.109469780298887
350.0,0.0,3.0,4.0,7.0,2.0,26.0,2.0,2.0,0.0,5.85821882796062
64.0,3.0,4.0,4.0,2.0,1.0,60.0,2.0,3.0,0.0,4.160444363926624
3.0,0.0,4.0,4.0,3.0,0.0,32.0,3.0,3.0,0.0,1.1314021114911006
0.0,1.0,4.0,3.0,7.0,1.0,31.0,3.0,3.0,0.0,-2.302585092994045
640.0,7.0,7.0,5.0,7.0,4.0,33.0,3.0,3.0,1.0,6.461624414147958
0.0,7.0,3.0,4.0,6.0,0.0,57.0,3.0,3.0,0.0,-2.302585092994045
12.0,7.0,4.0,3.0,6.0,1.0,84.0,3.0,3.0,0.0,2.4932054526026954
62.0,6.0,7.0,2.0,7.0,5.0,75.0,3.0,3.0,1.0,4.128745988939433
31.0,2.0,7.0,2.0,6.0,6.0,19.0,4.0,3.0,1.0,3.4372078191851885
0.0,1.0,3.0,2.0,6.0,1.0,47.0,6.0,3.0,0.0,-2.302585092994045
180.0,6.0,5.0,5.0,5.0,0.0,51.0,2.0,3.0,0.0,5.19351225218191
640.0,3.0,6.0,4.0,4.0,5.0,40.0,3.0,3.0,0.0,6.461624414147958
110.0,0.0,2.0,3.0,6.0,1.0,22.0,6.0,3.0,0.0,4.701389043728634
100.0,1.0,7.0,7.0,5.0,6.0,35.0,2.0,3.0,0.0,4.606169686321175
100.0,7.0,4.0,4.0,7.0,2.0,43.0,5.0,3.0,0.0,4.606169686321175
11.0,3.0,6.0,6.0,3.0,2.0,76.0,6.0,3.0,0.0,2.4069451083182885
0.0,7.0,4.0,3.0,1.0,6.0,45.0,3.0,3.0,1.0,-2.302585092994045
4.0,7.0,4.0,6.0,6.0,0.0,88.0,2.0,3.0,0.0,1.410986973710262
35.0,6.0,4.0,4.0,2.0,1.0,46.0,3.0,4.0,0.0,3.55820113047182
0.0,1.0,3.0,4.0,5.0,2.0,22.0,6.0,4.0,0.0,-2.302585092994045
0.0,7.0,5.0,1.0,6.0,5.0,68.0,3.0,4.0,1.0,-2.302585092994045
0.0,2.0,5.0,2.0,6.0,5.0,38.0,3.0,4.0,1.0,-2.302585092994045
33.0,7.0,4.0,3.0,6.0,3.0,69.0,2.0,4.0,0.0,3.4995332823830174
270.0,2.0,5.0,4.0,3.0,0.0,67.0,3.0,4.0,0.0,5.59879226079857
45.0,7.0,2.0,4.0,6.0,0.0,88.0,4.0,4.0,0.0,3.8088822465086327
40.0,3.0,6.0,2.0,5.0,5.0,68.0,3.0,4.0,1.0,3.691376334312523
6.0,1.0,5.0,2.0,4.0,2.0,76.0,3.0,4.0,1.0,1.8082887711792652
2.0,7.0,4.0,4.0,6.0,0.0,72.0,2.0,4.0,0.0,0.7419373447293773
0.0,0.0,6.0,2.0,6.0,6.0,37.0,6.0,4.0,1.0,-2.302585092994045
35.0,3.0,4.0,2.0,6.0,0.0,69.0,3.0,4.0,0.0,3.55820113047182
83.0,0.0,2.0,4.0,6.0,0.0,33.0,6.0,4.0,0.0,4.420044701861403
3500.0,7.0,2.0,2.0,6.0,0.0,34.0,4.0,4.0,0.0,8.16054681849792
100.0,2.0,4.0,4.0,7.0,2.0,30.0,3.0,4.0,0.0,4.606169686321175
350.0,2.0,3.0,3.0,6.0,1.0,19.0,3.0,4.0,0.0,5.85821882796062
100.0,3.0,4.0,6.0,2.0,0.0,44.0,3.0,4.0,0.0,4.606169686321175
67.0,1.0,4.0,4.0,7.0,1.0,64.0,3.0,4.0,0.0,4.206184043977636
30.0,5.0,7.0,7.0,2.0,0.0,37.0,4.0,4.0,0.0,3.40452517175483
0.0,7.0,6.0,3.0,5.0,4.0,31.0,5.0,5.0,1.0,-2.302585092994045
0.0,0.0,6.0,1.0,5.0,4.0,88.0,4.0,5.0,1.0,-2.302585092994045
6.0,7.0,6.0,2.0,6.0,6.0,77.0,4.0,5.0,1.0,1.8082887711792652
350.0,1.0,4.0,5.0,6.0,5.0,30.0,6.0,5.0,0.0,5.85821882796062
400.0,1.0,2.0,3.0,7.0,1.0,32.0,4.0,5.0,0.0,5.9917145158631895
15.0,7.0,6.0,2.0,6.0,6.0,59.0,1.0,5.0,1.0,2.714694743820879
0.0,0.0,4.0,4.0,4.0,3.0,47.0,4.0,5.0,0.0,-2.302585092994045
3.0,2.0,4.0,6.0,5.0,1.0,22.0,3.0,5.0,0.0,1.1314021114911006
22.0,5.0,4.0,2.0,6.0,2.0,55.0,3.0,5.0,0.0,3.095577608523707
64.0,2.0,2.0,1.0,3.0,0.0,24.0,2.0,5.0,0.0,4.160444363926624
32.0,5.0,3.0,7.0,4.0,1.0,65.0,1.0,5.0,0.0,3.4688560301359703
390.0,7.0,3.0,6.0,2.0,2.0,24.0,3.0,5.0,0.0,5.966403116512611
0.0,7.0,3.0,4.0,5.0,3.0,30.0,3.0,5.0,0.0,-2.302585092994045
0.0,7.0,4.0,5.0,2.0,3.0,73.0,3.0,5.0,0.0,-2.302585092994045
59.0,5.0,3.0,3.0,5.0,1.0,73.0,5.0,5.0,0.0,4.079230924412053
0.0,6.0,4.0,3.0,6.0,2.0,91.0,1.0,5.0,0.0,-2.302585092994045
35.0,7.0,3.0,2.0,5.0,0.0,71.0,2.0,5.0,0.0,3.55820113047182
0.0,2.0,6.0,4.0,5.0,4.0,34.0,4.0,5.0,1.0,-2.302585092994045
170.0,7.0,4.0,3.0,2.0,0.0,48.0,2.0,6.0,0.0,5.136386499401816
12.0,1.0,6.0,2.0,6.0,5.0,42.0,4.0,6.0,1.0,2.4932054526026954
40.0,4.0,6.0,5.0,4.0,0.0,72.0,2.0,6.0,0.0,3.691376334312523
31.0,2.0,3.0,4.0,6.0,6.0,20.0,4.0,6.0,1.0,3.4372078191851885
31.0,7.0,2.0,2.0,7.0,0.0,22.0,4.0,6.0,0.0,3.4372078191851885
1600.0,1.0,3.0,3.0,6.0,1.0,24.0,6.0,6.0,0.0,7.377821406274829
1.0,1.0,4.0,2.0,7.0,2.0,39.0,6.0,6.0,0.0,0.0953101798043249
4.0,7.0,6.0,1.0,6.0,6.0,83.0,5.0,6.0,1.0,1.410986973710262
190.0,0.0,6.0,2.0,6.0,6.0,39.0,3.0,6.0,1.0,5.247550249494384
53.0,3.0,5.0,3.0,6.0,1.0,33.0,5.0,6.0,0.0,3.972176928247893
31.0,7.0,4.0,3.0,6.0,1.0,53.0,3.0,6.0,1.0,3.4372078191851885
16.0,7.0,5.0,3.0,6.0,5.0,82.0,3.0,6.0,1.0,2.778819271990417
33.0,5.0,4.0,3.0,5.0,6.0,82.0,3.0,6.0,1.0,3.4995332823830174
0.0,3.0,5.0,3.0,6.0,5.0,47.0,6.0,7.0,1.0,-2.302585092994045
0.0,3.0,4.0,2.0,7.0,4.0,68.0,3.0,7.0,0.0,-2.302585092994045
0.0,7.0,4.0,3.0,5.0,0.0,84.0,6.0,7.0,0.0,-2.302585092994045
27.0,2.0,6.0,1.0,6.0,5.0,35.0,5.0,7.0,1.0,3.299533727885655
84.0,7.0,4.0,5.0,6.0,1.0,67.0,2.0,7.0,0.0,4.432006566978902
22.0,3.0,5.0,3.0,5.0,4.0,33.0,2.0,7.0,1.0,3.095577608523707
0.0,3.0,3.0,3.0,5.0,0.0,49.0,7.0,7.0,0.0,-2.302585092994045
3500.0,0.0,4.0,3.0,7.0,0.0,91.0,1.0,7.0,0.0,8.16054681849792
390.0,7.0,4.0,5.0,3.0,1.0,43.0,3.0,7.0,0.0,5.966403116512611
0.0,7.0,4.0,3.0,2.0,6.0,65.0,4.0,7.0,0.0,-2.302585092994045
16.0,7.0,5.0,6.0,3.0,0.0,69.0,3.0,7.0,0.0,2.778819271990417
200.0,0.0,5.0,5.0,4.0,1.0,56.0,4.0,8.0,0.0,5.298817241589688
640.0,0.0,2.0,3.0,5.0,0.0,24.0,6.0,8.0,0.0,6.461624414147958
0.0,7.0,4.0,4.0,5.0,0.0,77.0,3.0,8.0,0.0,-2.302585092994045
45.0,7.0,6.0,3.0,7.0,0.0,74.0,3.0,8.0,0.0,3.8088822465086327
12.0,0.0,7.0,3.0,6.0,6.0,25.0,6.0,8.0,1.0,2.4932054526026954
20.0,7.0,6.0,2.0,5.0,4.0,85.0,1.0,8.0,1.0,3.0007198150650303
7300.0,5.0,7.0,7.0,6.0,3.0,21.0,2.0,8.0,0.0,8.895643325672793
64.0,7.0,6.0,3.0,1.0,0.0,24.0,4.0,8.0,0.0,4.160444363926624
13.0,7.0,5.0,4.0,7.0,4.0,73.0,4.0,8.0,0.0,2.5726122302071057
190.0,0.0,4.0,5.0,3.0,2.0,37.0,3.0,8.0,0.0,5.247550249494384
9.0,4.0,4.0,5.0,1.0,2.0,35.0,4.0,8.0,0.0,2.2082744135228043
0.0,7.0,4.0,4.0,7.0,0.0,47.0,3.0,8.0,0.0,-2.302585092994045
170.0,2.0,4.0,2.0,6.0,6.0,21.0,3.0,8.0,1.0,5.136386499401816
640.0,7.0,3.0,6.0,4.0,0.0,55.0,5.0,8.0,0.0,6.461624414147958
9.0,4.0,6.0,3.0,6.0,6.0,30.0,6.0,8.0,1.0,2.2082744135228043
0.0,4.0,5.0,3.0,6.0,4.0,76.0,7.0,8.0,1.0,-2.302585092994045
7300.0,5.0,3.0,4.0,3.0,3.0,36.0,4.0,8.0,0.0,8.895643325672793
2800.0,0.0,1.0,1.0,7.0,0.0,38.0,3.0,9.0,0.0,7.937410409811269
0.0,7.0,2.0,3.0,5.0,0.0,67.0,3.0,9.0,0.0,-2.302585092994045
30.0,7.0,7.0,3.0,7.0,6.0,70.0,2.0,9.0,1.0,3.40452517175483
44.0,7.0,5.0,3.0,7.0,2.0,78.0,4.0,9.0,0.0,3.7864597824528
7300.0,1.0,2.0,2.0,7.0,3.0,27.0,6.0,9.0,0.0,8.895643325672793
330.0,4.0,3.0,5.0,6.0,1.0,51.0,4.0,9.0,0.0,5.799395638859147
3.0,0.0,6.0,7.0,3.0,5.0,33.0,4.0,9.0,0.0,1.1314021114911006
51.0,2.0,6.0,1.0,5.0,6.0,80.0,6.0,9.0,1.0,3.933784497209659
29.0,5.0,4.0,1.0,6.0,1.0,79.0,1.0,9.0,0.0,3.370738174177447
630.0,2.0,6.0,4.0,5.0,4.0,66.0,1.0,9.0,1.0,6.44587853694801
170.0,0.0,4.0,1.0,6.0,0.0,32.0,3.0,10.0,0.0,5.136386499401816
33.0,7.0,4.0,5.0,7.0,0.0,70.0,2.0,10.0,0.0,3.4995332823830174
0.0,3.0,2.0,3.0,6.0,3.0,42.0,3.0,10.0,0.0,-2.302585092994045
9.0,5.0,5.0,4.0,5.0,5.0,73.0,4.0,10.0,1.0,2.2082744135228043
22.0,4.0,4.0,4.0,6.0,0.0,87.0,2.0,10.0,0.0,3.095577608523707
100.0,0.0,7.0,5.0,1.0,1.0,30.0,5.0,10.0,0.0,4.606169686321175
2.0,2.0,4.0,4.0,5.0,3.0,52.0,3.0,10.0,0.0,0.7419373447293773
0.0,6.0,5.0,3.0,6.0,1.0,62.0,4.0,10.0,0.0,-2.302585092994045
50.0,7.0,6.0,3.0,4.0,0.0,67.0,3.0,10.0,0.0,3.914021008090819
15.0,4.0,6.0,3.0,4.0,4.0,37.0,6.0,10.0,0.0,2.714694743820879
3.0,4.0,3.0,5.0,7.0,0.0,37.0,4.0,10.0,0.0,1.1314021114911006
720.0,5.0,1.0,5.0,6.0,1.0,64.0,6.0,10.0,0.0,6.5793900912548215
640.0,7.0,1.0,1.0,5.0,0.0,34.0,3.0,10.0,0.0,6.461624414147958
5.0,7.0,4.0,4.0,7.0,0.0,70.0,3.0,10.0,0.0,1.62924053973028
24.0,2.0,6.0,2.0,6.0,6.0,31.0,5.0,10.0,1.0,3.1822118404966093
22.0,7.0,2.0,2.0,6.0,0.0,29.0,6.0,11.0,0.0,3.095577608523707
55.0,7.0,4.0,5.0,4.0,1.0,71.0,2.0,11.0,0.0,4.009149716158869
0.0,2.0,4.0,4.0,4.0,0.0,67.0,1.0,11.0,0.0,-2.302585092994045
1600.0,5.0,4.0,4.0,6.0,0.0,41.0,7.0,11.0,0.0,7.377821406274829
170.0,6.0,1.0,2.0,6.0,0.0,49.0,6.0,11.0,0.0,5.136386499401816
1000.0,7.0,4.0,4.0,5.0,0.0,42.0,5.0,11.0,0.0,6.90785527398247
63.0,0.0,6.0,3.0,2.0,0.0,78.0,2.0,11.0,0.0,4.144720769547168
110.0,0.0,4.0,1.0,6.0,1.0,24.0,3.0,11.0,0.0,4.701389043728634
16.0,7.0,4.0,6.0,6.0,1.0,29.0,3.0,11.0,0.0,2.778819271990417
100.0,3.0,4.0,2.0,6.0,5.0,39.0,5.0,11.0,1.0,4.606169686321175
7300.0,3.0,5.0,3.0,6.0,1.0,19.0,4.0,11.0,0.0,8.895643325672793
22.0,2.0,4.0,2.0,7.0,1.0,32.0,5.0,11.0,0.0,3.095577608523707
71.0,3.0,4.0,2.0,6.0,5.0,69.0,3.0,11.0,1.0,4.264087336809195
900.0,4.0,5.0,2.0,5.0,5.0,83.0,3.0,11.0,1.0,6.802505868263039
35.0,7.0,4.0,1.0,5.0,4.0,76.0,2.0,11.0,1.0,3.55820113047182
2.0,7.0,7.0,1.0,2.0,0.0,62.0,2.0,11.0,0.0,0.7419373447293773
83.0,2.0,3.0,3.0,6.0,0.0,47.0,7.0,11.0,0.0,4.420044701861403
370.0,5.0,6.0,7.0,4.0,0.0,35.0,3.0,11.0,0.0,5.913773239392111
12.0,0.0,4.0,5.0,3.0,4.0,23.0,3.0,11.0,0.0,2.4932054526026954
370.0,7.0,4.0,4.0,1.0,1.0,79.0,4.0,11.0,0.0,5.913773239392111
100.0,7.0,6.0,2.0,6.0,5.0,64.0,5.0,11.0,1.0,4.606169686321175
470.0,7.0,6.0,2.0,4.0,5.0,70.0,4.0,11.0,1.0,6.152945438030085
22.0,7.0,6.0,1.0,6.0,6.0,87.0,5.0,11.0,1.0,3.095577608523707
2800.0,0.0,3.0,6.0,1.0,0.0,28.0,2.0,12.0,0.0,7.937410409811269
47.0,5.0,3.0,5.0,7.0,1.0,58.0,3.0,12.0,0.0,3.852273001022372
900.0,5.0,4.0,4.0,6.0,1.0,85.0,2.0,12.0,0.0,6.802505868263039
330.0,7.0,3.0,6.0,4.0,0.0,62.0,3.0,12.0,0.0,5.799395638859147
84.0,0.0,3.0,2.0,7.0,1.0,26.0,6.0,12.0,0.0,4.432006566978902
0.0,0.0,6.0,2.0,5.0,5.0,28.0,3.0,12.0,1.0,-2.302585092994045
33.0,3.0,6.0,1.0,7.0,6.0,88.0,2.0,12.0,1.0,3.4995332823830174
53.0,7.0,2.0,3.0,6.0,0.0,57.0,6.0,12.0,0.0,3.972176928247893
8.0,7.0,2.0,2.0,6.0,0.0,78.0,3.0,12.0,0.0,2.091864061678393
2.0,7.0,4.0,4.0,2.0,0.0,56.0,3.0,12.0,0.0,0.7419373447293773
0.0,0.0,4.0,6.0,3.0,3.0,46.0,5.0,12.0,0.0,-2.302585092994045
0.0,2.0,4.0,4.0,3.0,5.0,20.0,3.0,12.0,1.0,-2.302585092994045
0.0,0.0,5.0,6.0,4.0,1.0,24.0,4.0,12.0,0.0,-2.302585092994045
0.0,7.0,5.0,2.0,6.0,2.0,72.0,4.0,12.0,0.0,-2.302585092994045
15.0,7.0,2.0,4.0,7.0,1.0,51.0,4.0,12.0,0.0,2.714694743820879
900.0,0.0,6.0,2.0,5.0,6.0,34.0,6.0,12.0,1.0,6.802505868263039
30.0,2.0,4.0,2.0,6.0,1.0,21.0,4.0,12.0,0.0,3.40452517175483
0.0,7.0,4.0,4.0,6.0,2.0,74.0,7.0,12.0,0.0,-2.302585092994045
170.0,3.0,4.0,4.0,6.0,1.0,48.0,1.0,12.0,0.0,5.136386499401816
900.0,2.0,3.0,3.0,7.0,5.0,28.0,3.0,12.0,0.0,6.802505868263039
0.0,6.0,7.0,1.0,7.0,5.0,38.0,2.0,12.0,1.0,-2.302585092994045
1600.0,7.0,4.0,6.0,1.0,0.0,70.0,3.0,12.0,0.0,7.377821406274829
0.0,7.0,4.0,5.0,4.0,0.0,72.0,2.0,12.0,0.0,-2.302585092994045
2800.0,0.0,4.0,5.0,6.0,0.0,41.0,3.0,12.0,0.0,7.937410409811269
110.0,5.0,3.0,4.0,5.0,1.0,50.0,7.0,12.0,0.0,4.701389043728634
1.0,7.0,6.0,2.0,5.0,5.0,73.0,3.0,12.0,1.0,0.0953101798043249
3.0,5.0,5.0,2.0,4.0,0.0,79.0,6.0,12.0,0.0,1.1314021114911006
0.0,4.0,5.0,1.0,4.0,5.0,76.0,2.0,12.0,1.0,-2.302585092994045
22.0,0.0,5.0,3.0,5.0,5.0,62.0,5.0,12.0,1.0,3.095577608523707
63.0,3.0,6.0,2.0,6.0,6.0,30.0,6.0,12.0,1.0,4.144720769547168
290.0,0.0,6.0,3.0,6.0,5.0,35.0,4.0,12.0,1.0,5.670225691127358
2.0,7.0,1.0,2.0,7.0,1.0,66.0,4.0,12.0,0.0,0.7419373447293773
40.0,0.0,2.0,4.0,6.0,0.0,35.0,4.0,12.0,0.0,3.691376334312523
67.0,0.0,6.0,1.0,5.0,6.0,57.0,6.0,12.0,1.0,4.206184043977636
0.0,5.0,4.0,5.0,4.0,5.0,37.0,5.0,12.0,1.0,-2.302585092994045
470.0,7.0,5.0,5.0,2.0,1.0,61.0,3.0,13.0,0.0,6.152945438030085
0.0,7.0,6.0,2.0,6.0,6.0,56.0,3.0,13.0,1.0,-2.302585092994045
4.0,6.0,3.0,4.0,5.0,1.0,53.0,3.0,13.0,0.0,1.410986973710262
20.0,0.0,4.0,5.0,3.0,2.0,24.0,6.0,13.0,1.0,3.0007198150650303
2800.0,7.0,4.0,1.0,6.0,5.0,74.0,3.0,13.0,1.0,7.937410409811269
0.0,0.0,4.0,4.0,3.0,1.0,36.0,3.0,13.0,0.0,-2.302585092994045
1.0,0.0,6.0,2.0,4.0,5.0,30.0,5.0,13.0,1.0,0.0953101798043249
640.0,0.0,4.0,7.0,4.0,1.0,55.0,2.0,13.0,0.0,6.461624414147958
170.0,3.0,3.0,2.0,7.0,2.0,35.0,6.0,13.0,0.0,5.136386499401816
270.0,2.0,3.0,4.0,6.0,0.0,26.0,4.0,13.0,0.0,5.59879226079857
390.0,0.0,3.0,4.0,6.0,2.0,25.0,4.0,13.0,0.0,5.966403116512611
16.0,2.0,6.0,7.0,4.0,3.0,27.0,3.0,13.0,0.0,2.778819271990417
11.0,7.0,4.0,1.0,6.0,5.0,66.0,3.0,13.0,1.0,2.4069451083182885
0.0,1.0,5.0,2.0,6.0,2.0,39.0,2.0,13.0,0.0,-2.302585092994045
270.0,7.0,1.0,1.0,2.0,2.0,58.0,5.0,13.0,0.0,5.59879226079857
170.0,2.0,4.0,4.0,4.0,0.0,53.0,3.0,13.0,1.0,5.136386499401816
900.0,7.0,6.0,7.0,4.0,0.0,76.0,3.0,13.0,0.0,6.802505868263039
270.0,7.0,5.0,2.0,7.0,1.0,51.0,3.0,13.0,0.0,5.59879226079857
0.0,7.0,4.0,2.0,7.0,0.0,70.0,2.0,13.0,0.0,-2.302585092994045
350.0,3.0,6.0,3.0,6.0,6.0,68.0,4.0,13.0,1.0,5.85821882796062
0.0,0.0,5.0,4.0,5.0,2.0,32.0,3.0,13.0,1.0,-2.302585092994045
6.0,0.0,5.0,4.0,5.0,5.0,55.0,3.0,13.0,0.0,1.8082887711792652
290.0,7.0,2.0,2.0,6.0,0.0,52.0,4.0,13.0,0.0,5.670225691127358
630.0,7.0,6.0,4.0,6.0,4.0,73.0,2.0,13.0,1.0,6.44587853694801
900.0,0.0,5.0,4.0,7.0,0.0,42.0,2.0,13.0,0.0,6.802505868263039
31.0,2.0,4.0,4.0,3.0,4.0,23.0,5.0,13.0,1.0,3.4372078191851885
1600.0,5.0,2.0,3.0,6.0,0.0,30.0,7.0,14.0,0.0,7.377821406274829
